2019-06-04 21:54:40.767	  0x7fffab02d380	INFO 	logging	contrib/epee/src/mlog.cpp:277	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2019-06-04 21:54:41.682	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mar' is shorter than its prefix length, 4
2019-06-04 21:54:41.682	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mes' is shorter than its prefix length, 4
2019-06-04 21:54:41.682	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mil' is shorter than its prefix length, 4
2019-06-04 21:54:41.683	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oca' is shorter than its prefix length, 4
2019-06-04 21:54:41.683	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ojo' is shorter than its prefix length, 4
2019-06-04 21:54:41.683	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ola' is shorter than its prefix length, 4
2019-06-04 21:54:41.683	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oro' is shorter than its prefix length, 4
2019-06-04 21:54:41.683	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oso' is shorter than its prefix length, 4
2019-06-04 21:54:41.683	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'pan' is shorter than its prefix length, 4
2019-06-04 21:54:41.683	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'pez' is shorter than its prefix length, 4
2019-06-04 21:54:41.683	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'pie' is shorter than its prefix length, 4
2019-06-04 21:54:41.683	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'red' is shorter than its prefix length, 4
2019-06-04 21:54:41.683	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'res' is shorter than its prefix length, 4
2019-06-04 21:54:41.684	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'rey' is shorter than its prefix length, 4
2019-06-04 21:54:42.500	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:4585	!is_keys_file_locked(). THROW EXCEPTION: error::wallet_internal_error
2019-06-04 21:55:00.857	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:55:00.859	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:55:20.879	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:55:20.879	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:55:40.898	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:55:40.898	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:56:00.921	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:56:00.921	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:56:09.176	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:4585	!is_keys_file_locked(). THROW EXCEPTION: error::wallet_internal_error
2019-06-04 21:56:20.976	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:56:20.976	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:56:40.992	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:56:40.992	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:57:01.017	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:57:01.017	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:57:21.034	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:57:21.034	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:57:41.050	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:57:41.050	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:58:01.076	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:58:01.076	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:58:21.092	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:58:21.092	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:58:41.112	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:58:41.112	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:59:01.129	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:59:01.129	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
